求人№,社名,主事業,副事業,本社,年間売り上げ,"月間給与（例200,000日円=9,300人民元）",年間休日,平均有給取得日,追加情報
2024071701,(株)丸和運輸機関,物流・倉庫,陸運（貨物・バス・タクシー）、専門店（食品・日用品）、通販・ネット販売、情報処理,埼玉県,"【グループ連結】 1,985億円5,400万円　(2024年3月期)","207,000円～230,000円",120日,8.5日（2023年）,平均勤続年数:8.0年（2023年）
2024071702,(株)オープンアップコンストラクション,建設,インテリア・住宅関連、建築設計、ビル施設管理・メンテナンス、住宅,東京都,52億円(2023年3月末実績),"210,000円～240,000円",118日,10日（2023年）,月平均残業時間:16.5時間:
2024071705,日本システム技術(株)【東証プライム市場上場】,ソフトウエア,情報処理、インターネット関連、専門コンサルティング、サービス（その他）,東京都、大阪府,"261億8,300万円（連結、2024年3月期）","238,203円～273,583円",127日,11.6日（2023年）,平均勤続年数:9.6年（2023年）
2024071706,CLINKS(株),情報処理,通信・インフラ、ソフトウエア、ゲームソフト,東京都,53億円（2022年度実績）,"210,000円～230,000円",120日,確認中,平均勤続年数:3.9年（2022年）
2024071707,(株)飯田産業【飯田グループホールディングス】,住宅,建築設計、ホテル・旅館、不動産、商社（インテリア・住宅関連）,東京都,"2,580億円（2023年3月期 連結）","180,000円～300,000円",115日,確認中,月平均残業時間:15.6時間:
2024071708,(株)ワールドインテック【ファクトリー事業部 専門学校・短大・高専生コース】,その他メーカー,自動車・自動車部品、各種ビジネスサービス・BPO、ソフトウエア,東京都、福岡県,"1,547億400万円（2021年12月期連結）","169,600円～224,000円",120日,21.6日（2022年）,月平均残業時間:16.5時間:
2024071709,ITXコミュニケーションズ(株),商社（通信）,商社（電子・電気機器・OA機器）、専門店（家電・OA機器）、専門店（その他小売）、専門コンサルティング,神奈川県,537億2600万円（2023年度）,"220,000円～250,000円",110日,9.7日（2023年）,平均勤続年数:4.4年（2023年）
2024071710,(株)ワールドインテック【ファクトリー事業部 マネジメント職コース】,半導体・電子・電気機器,機械、輸送用機器（船舶・航空・宇宙関連など）、家電・ＡＶ機器、各種ビジネスサービス・BPO,東京都、福岡県,"1,547億400万円（2021年12月期連結）","169,600円～217,600円",120日,21.6日（2022年）,月平均残業時間:16.5時間:
2024071711,NCD(株)【東証スタンダード市場上場】(旧社名：日本コンピュータ・ダイナミクス(株)),ソフトウエア,情報処理、インターネット関連,東京都,"連結254億8,100万円（2024年3月）","202,000円～247,000円",14.6日（2022年）,確認中,平均勤続年数:11.6年（2023年）
2024071712,(株)クレオ【東証スタンダード市場上場】,ソフトウエア,情報処理、受託開発、専門コンサルティング、インターネット関連,東京都,"78億2,500万円（2024年3月期）","207,000円～228,000円",123日,11.8日（2023年）,平均勤続年数:14.2年（2023年）
2024071713,(株)片桐建設【アイフルホーム】,住宅,住宅（リフォーム）、建設、農林・水産、食品,長野県,21億円（2023年3月）,"170,000円～240,000円",108日～112日,5.3日（2020年）,平均勤続年数:6年（2020年）
2024071714,(株)アーネストワン（飯田グループホールディングス）,住宅,建築設計、不動産、建設、インテリア・住宅関連,東京都,"2,916億8,600万円(2024年3月期）","240,000円～250,000円",126日,9.9日（2022年）,平均勤続年数:6.3年（2022年）
2024071715,ヤマトプロテック(株),設備工事,化学、機械、環境・リサイクル、検査・整備・メンテナンス,東京都,301億円（2023年12月実績）,"185,000円～214,000円",127日,6.9日（2021年）,平均勤続年数:11.6年（2021年）
2024071716,(株)ワールドインテック【ファクトリー事業部 既卒者コース】,その他メーカー,総合電機、自動車・自動車部品、各種ビジネスサービス・BPO、ソフトウエア,東京都、福岡県,"1,547億400万円（2021年12月期連結）","169,600円～233,600円",120日,21.6日（2022年）,月平均残業時間:16.5時間:
2024071717,ワタミ(株),食品,給食・デリカ・フードビジネス、外食・レストラン、農林・水産、電力,東京都,外食事業　252億8500万円 (2023年3月実績)宅食事業   437億6200万円 (2023年3月実績）,"202,000円～222,000円",確認中,8.7日（2023年）,平均勤続年数:10.6年（2023年）
2024071718,(株)ワールドインテック【ファクトリー事業部 プロフェッショナル職コース】,専門コンサルティング,精密機器、その他電子・電気関連、プラント・エンジニアリング、食品,東京都、福岡県,"1,547億400万円（2021年12月期連結）","169,600円～217,600円",120日,21.6日（2022年）,月平均残業時間:16.5時間:
